att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,att31,att32,att33,att34,att35,att37,att38,att39,att40,att41,att42,att43,att44,att45,att46,att47,att48,att49,att50,att51,att52,att53,att54,att55,att56,att57,att58,att59,att60,att61,att62,att63,att64,att65,att66,att67,att68,att69,att70,att71,att72,att73,att74,att75,att76,att77,att78,att79,att80,att81,att82,att83,att84,att85,att86,att87,att88,att89,att90,att91,att92,att93,att94,att95,att96,att97,att98,att99,att100,att101,att102,att103,att104,att105,att106,att107,att108,att109,att110,att111,att112,att113,att114,att115,att116,att117,att118,att119,att120,att121,att122,att123,att124,att125,att126,att127,att128,att129,att130,att131,att132,att133,att134,att135,att136,att137,att138,att139,att140,output
0.44278411,-1.066953,-2.4671624,-3.8390653,-4.3261853,-4.0210579,-3.0751277,-2.0004937,-1.6978492,-1.2647637,-0.6160334,-0.48015516,-0.44659527,-0.43347767,-0.46708432,-0.41974497,-0.4328108,-0.40580346,-0.41855637,-0.34058121,-0.47399973,-0.46618512,-0.47132589,-0.52798304,-0.45604561,-0.44567165,-0.52331325,-0.57502759,-0.64065765,-0.63480846,-0.60058615,-0.72410843,-0.76356903,-0.83253715,-0.8614266,-0.85035207,-0.89941687,-0.89960014,-0.87474466,-0.88077673,-0.77704831,-0.76958483,-0.72290162,-0.61188179,-0.48310202,-0.2969766,-0.22651267,-0.19168858,-0.095742784,-0.090732435,0.073788748,0.064827332,0.000636518,0.036734189,0.037556815,0.123401,0.04158711,0.10865475,0.076448403,0.049135024,0.13490147,0.14021697,0.152805,0.21859318,0.18398813,0.22653597,0.24174821,0.20061495,0.28746795,0.32712363,0.40752934,0.43590286,0.5296286,0.47581093,0.56407995,0.57958157,0.60710857,0.58698635,0.55156957,0.51891381,0.41375016,0.4637784,0.42737082,0.46991161,0.43492279,0.36759591,0.40108485,0.51090294,0.49142225,0.4673719,0.45507543,0.3900091,0.38907457,0.5590257,0.54631466,0.73840389,0.90475741,1.0140226,1.2462599,1.4398935,1.5842991,1.7964132,1.8854339,1.8751712,1.7567555,1.6989284,1.5103593,1.2670082,1.0323827,0.73570514,0.42606959,0.16380136,-0.089732948,-0.15949695,-0.19700282,-0.1184885,-0.14292837,-0.16336387,-0.12609261,0.006445089,-0.067906799,-0.14068914,-0.084860464,-0.072624492,0.000143187,-0.12204896,-0.090078571,0.15496548,0.47477035,0.95468299,1.0379432,0.93913802,0.9672378,1.0727505,0.99477238,0.89114332,1.2856871,1.5883707,1.194063,-0.38892728,1
1.541284,1.3275269,-0.38128792,-1.8536548,-3.0805063,-3.8510304,-3.4420531,-2.4717001,-1.737634,-1.774059,-0.80410321,-0.18606586,-0.30903222,-0.33885607,-0.28582127,-0.25558942,-0.28670025,-0.26622842,-0.40717682,-0.35119253,-0.31526646,-0.40748989,-0.51769749,-0.55317644,-0.60128475,-0.53865715,-0.59845489,-0.68365714,-0.76948635,-0.81760442,-0.82691899,-0.88086958,-0.87552935,-1.0009356,-1.0445998,-1.0438644,-1.2214718,-1.1925816,-1.2529271,-1.1843127,-1.1681537,-1.1296315,-1.1981792,-1.0368187,-0.8822651,-0.9021955,-0.71009009,-0.64286471,-0.49638535,-0.46472762,-0.32245255,-0.21095983,-0.30517736,-0.14680215,-0.23828586,-0.10381096,0.012192928,-0.058606491,-0.10543075,0.008731233,0.047482028,-0.009025427,0.066758221,0.11368789,0.14402441,0.12724662,0.17172405,0.29921522,0.19537529,0.21758064,0.28425022,0.38676293,0.31286625,0.44194915,0.42236911,0.50721026,0.43216463,0.5233213,0.51700691,0.45316068,0.51678673,0.64005304,0.54828406,0.4583261,0.55643676,0.48460912,0.45041778,0.48275252,0.4237453,0.3999642,0.43681926,0.40968925,0.37118353,0.48112188,0.32710219,0.27198073,0.34501972,0.3961021,0.45994253,0.52379262,0.85524567,1.0994861,1.2289642,1.3020263,1.4555612,1.7763204,2.1199072,2.0941184,1.9060263,1.8453,1.6684146,1.4726943,1.1563358,0.85593031,0.33841618,-0.037092803,-0.16393203,-0.14847709,-0.16327333,-0.13336702,-0.1274147,-0.16439869,-0.23700254,-0.22731887,-0.17819874,-0.11291685,-0.10046352,-0.24230872,-0.1364223,-0.010283176,0.12943973,0.50735458,0.96191332,0.91460997,1.6788641,1.9822739,1.9905861,1.3681258,0.9730102,1.5052661,1
-0.82975204,-3.500824,-4.0468026,-4.4821725,-4.0067489,-2.7849862,-1.8147319,-1.586727,-0.73663574,-0.22871429,-0.32004084,-0.27362298,-0.13031146,-0.16926698,-0.32729799,-0.27820627,-0.19127369,-0.29751285,-0.30239199,-0.32387977,-0.31250831,-0.37215134,-0.36585744,-0.42640429,-0.45034488,-0.50070292,-0.4535552,-0.50826614,-0.56644984,-0.64820184,-0.66626877,-0.68011762,-0.73075985,-0.77785381,-0.79751431,-0.78256686,-0.7655048,-0.69238949,-0.61236171,-0.675649,-0.62867032,-0.48669549,-0.37375584,-0.37709868,-0.29462777,-0.21711679,-0.077653161,-0.15039593,-0.094030705,-0.063301318,-0.11110642,-0.042134305,-0.045617936,0.030101987,0.044388999,0.090397606,0.14047589,0.22321768,0.11692697,0.17184323,0.26463414,0.21543866,0.26065513,0.29121969,0.2449525,0.36965125,0.40368513,0.51990613,0.51030796,0.56624054,0.57684359,0.58014753,0.57064935,0.49701228,0.52952931,0.56414229,0.53967463,0.4433671,0.51084744,0.4351302,0.43021132,0.36457996,0.37800495,0.40040321,0.36150135,0.40603439,0.30239133,0.35804403,0.31423741,0.26840388,0.3251914,0.31064889,0.31714289,0.31596166,0.31116938,0.32963074,0.39651703,0.54773981,0.76335899,0.98537662,1.214937,1.4103502,1.5813384,1.7876363,2.0993167,2.0796225,2.0779239,1.9077355,1.6563669,1.4381929,1.1574368,0.91986032,0.38266156,0.007079307,-0.15163982,-0.267765,-0.26717609,-0.26305156,-0.29785386,-0.25815609,-0.22549984,-0.33212259,-0.24480595,-0.29968861,-0.19634199,-0.25407494,-0.14169529,-0.19804562,-0.19083581,0.12695517,0.64802884,1.1234787,1.1774739,1.0411789,0.74207038,0.44468511,0.52465764,0.66457532,1.4112554,-0.55446805,1
0.072052286,-3.1618602,-4.3766487,-4.4056537,-3.9883391,-3.0684561,-1.5883072,-1.2850434,-0.80524286,0.053837206,0.11090128,0.10592924,0.17499052,0.06298869,0.17968258,0.041846912,0.15723758,0.000668843,-0.001648152,0.010744365,-0.084799106,-0.11939385,-0.12488091,-0.12400707,-0.30332584,-0.32226168,-0.34174147,-0.45079458,-0.55805524,-0.56169909,-0.64789756,-0.74366444,-0.78378126,-0.80655299,-0.88029888,-0.78423045,-0.89003844,-0.87272154,-0.78162928,-0.76177296,-0.64025441,-0.50502505,-0.53808073,-0.42660098,-0.2315774,-0.070671064,0.014320712,-0.033705454,-0.020206563,0.060808914,0.11494938,0.18553935,0.1309426,0.19123449,0.19254353,0.1930272,0.15617831,0.14966105,0.21103054,0.25562309,0.24464742,0.12961965,0.16198249,0.21213949,0.26874937,0.32442398,0.41654501,0.42065255,0.30609255,0.45450423,0.51781495,0.49453103,0.49738103,0.57639643,0.56770305,0.53696588,0.52186432,0.55716667,0.62536021,0.4361937,0.38662418,0.40872325,0.56824597,0.42839799,0.42922089,0.36871178,0.41781201,0.35164082,0.23300471,0.29700589,0.21817758,0.14508628,0.29729402,0.29491051,0.18754746,0.14652073,0.39420139,0.58050531,0.86750964,1.0810531,1.1631134,1.3167857,1.5927909,1.9693941,1.9661396,1.909813,1.7913506,1.4872761,1.2393161,0.97114951,0.65603942,0.21172949,-0.19679844,-0.4447125,-0.63792445,-0.59028202,-0.57320124,-0.61590826,-0.63005752,-0.57157673,-0.58791204,-0.66139933,-0.61915723,-0.59649355,-0.66367995,-0.67563102,-0.60535948,-0.54099022,-0.48435401,-0.14524047,0.67281179,0.83120044,0.94552193,1.1425801,1.2349437,1.0937273,0.90188318,0.86043449,1.7822697,0.99160932,1
-1.1492478,-1.7957682,-2.4190232,-3.0521047,-3.5873567,-4.0257426,-3.6208057,-2.9458988,-1.9115537,-1.3895031,-1.0531837,-0.37295308,-0.30061135,-0.23683836,-0.26913088,-0.19434134,-0.18738529,-0.39811844,-0.14897599,-0.2990155,-0.31003043,-0.07320989,-0.12238659,-0.22468576,-0.29479378,-0.12547159,-0.14235609,-0.30313511,-0.41316767,-0.20269293,-0.080527014,-0.065873184,-0.10923024,-0.31085227,-0.13928956,-0.22222095,-0.11191599,-0.10970781,-0.11410088,-0.19988229,-0.14880649,0.04641599,-0.068685338,0.11525849,0.20710926,0.2166756,0.22614141,0.20746083,0.047984956,0.075349818,0.231959,0.16503723,0.27446274,0.23619505,0.08409309,-0.070733264,0.16151412,0.20279459,0.045291356,0.019614376,-0.047958425,0.14232205,0.24469932,-0.038948866,-0.28413083,0.080542547,0.19694807,-0.00659189,0.018907375,0.10339661,0.16927147,0.14937149,0.28749318,0.2798426,0.19336898,0.26381914,0.3911304,0.45904859,0.32917068,0.32226426,0.52587758,0.57730564,0.46459023,0.4470983,0.48224658,0.52297626,0.505886,0.41737146,0.40906129,0.3926003,0.50410545,0.40281232,0.41959513,0.57692696,0.73859978,0.72055644,0.87226895,0.93121038,0.95694435,1.2256862,1.4968095,1.7935425,1.8642908,1.7895733,1.6992091,1.6950485,1.5677066,1.3742252,1.0581024,0.83116314,0.62474545,0.26004793,0.045557706,-0.06376934,-0.15825981,-0.30747837,-0.42887096,-0.30194547,-0.046238803,0.037920457,-0.15676275,-0.04877871,-0.1659559,-0.3019118,-0.18960777,-0.23060409,-0.1343002,0.025520765,0.47745007,1.2752076,1.8373905,1.8928268,1.771121,1.3291648,0.43110257,-0.84046099,-1.6759767,-1.7280304,-1.2043668,-1.7841386,1
1.1769864,-0.65701606,-2.6056676,-3.8086859,-4.6396123,-3.7415395,-2.2569379,-1.5824809,-1.2123269,-0.058129433,0.060900337,0.039688119,0.006353334,0.062795277,0.11579255,0.013627326,0.013104946,-0.016106851,-0.09011182,-0.19447545,-0.00486431,-0.15535039,-0.28662198,-0.28124769,-0.40269559,-0.45460901,-0.50376691,-0.63795097,-0.68374207,-0.52421697,-0.76629634,-0.93754758,-1.0088709,-1.0202331,-1.1404868,-1.0734651,-1.1792002,-1.0489669,-1.062967,-1.0624942,-0.97992194,-0.92753266,-0.74400217,-0.58400969,-0.60888532,-0.45626188,-0.21777212,-0.22208422,-0.12014758,-0.059249798,-0.086523615,-0.00834019,-0.10301199,0.017319241,-0.068723242,-0.035460317,0.063161569,0.061628404,0.13722864,0.19511794,0.13470301,0.10409743,0.17291849,0.171033,0.30363023,0.24237057,0.39377894,0.4874629,0.60970538,0.67608249,0.67444996,0.56976283,0.70230584,0.68281479,0.77103915,0.7786988,0.64085439,0.73253647,0.71725533,0.70462113,0.69098814,0.58798871,0.65830368,0.56195826,0.54447836,0.51238526,0.44978477,0.45308239,0.4770694,0.31399757,0.4095878,0.35747161,0.34001917,0.28200811,0.30629258,0.23582433,0.27813134,0.23338588,0.35082688,0.39040823,0.41132885,0.85481778,1.1915262,1.4353163,1.4401626,1.6204056,1.8608515,2.2050359,2.1171506,2.0498671,1.7224389,1.3995203,1.1770942,0.79536,0.56862648,0.12373518,-0.39256705,-0.40704314,-0.43157529,-0.54907598,-0.62048078,-0.53318825,-0.47204177,-0.45508714,-0.43696976,-0.49716706,-0.55205699,-0.58648202,-0.58091027,-0.56726251,-0.39044231,-0.37419228,0.19002537,1.0000453,1.139625,1.2863276,1.1168049,1.2502928,0.77352234,-0.2305444,1
-0.22834853,-2.2628779,-3.3788697,-4.3368007,-4.392429,-3.50185,-2.2532555,-1.7474345,-1.4082702,-0.5716136,-0.33085616,-0.33677196,-0.26542312,-0.3008065,-0.30018242,-0.24047835,-0.20566761,-0.2327389,-0.28498938,-0.30185573,-0.38164208,-0.42044701,-0.40999425,-0.421283,-0.40364729,-0.45180363,-0.5027427,-0.58554929,-0.62740108,-0.6329935,-0.69083345,-0.75313037,-0.7360911,-0.73875031,-0.94551909,-0.84847217,-0.80214301,-0.82295942,-0.88117796,-0.85758051,-0.78562412,-0.77970706,-0.61954298,-0.46030498,-0.41009556,-0.29590868,-0.17254778,-0.059433663,-0.05700073,0.025752898,0.085047801,0.094270726,0.057510564,0.074963744,0.040307833,-0.021758429,0.088061025,0.086413851,0.15750477,0.22796172,0.079406352,0.15007865,0.21804847,0.17399542,0.22927756,0.31006797,0.39619256,0.40679162,0.43223113,0.51875446,0.48288592,0.64463702,0.54189118,0.6689774,0.67184772,0.66988462,0.63504986,0.628076,0.57633931,0.58797111,0.66977053,0.52183691,0.51607842,0.52621629,0.542702,0.49070869,0.44047001,0.49838341,0.42889745,0.39060865,0.30151933,0.37801488,0.35571953,0.37510013,0.44391785,0.44054101,0.51291208,0.55933355,0.80216637,1.0827527,1.1742112,1.362145,1.5105203,1.744175,2.0465619,2.0028931,2.1276537,1.7526075,1.5640601,1.3663385,1.1265928,0.82018035,0.39976286,0.07815672,-0.14293667,-0.16183541,-0.19750918,-0.084306641,-0.15159421,-0.16749644,-0.1905306,-0.17849336,-0.13727521,-0.12570145,-0.12094001,-0.070890993,-0.074161392,-0.069365654,0.13348062,0.60000163,1.1609032,1.0446447,0.94292366,0.88683674,0.56570506,0.16328458,0.24850591,0.63823249,0.92907416,-1.2966586,1
-1.8972932,-3.5231948,-4.2171096,-4.5202632,-3.9192998,-2.9885005,-1.6561838,-1.1093295,-0.92645734,-0.42436617,-0.32909097,-0.17336709,-0.17572272,-0.23749269,-0.22085536,-0.064921908,-0.081213124,-0.28825824,-0.30623611,-0.23930287,-0.20871747,-0.33682439,-0.27142046,-0.28350951,-0.31493497,-0.41098144,-0.43528793,-0.47273629,-0.41736961,-0.44797062,-0.45213265,-0.5436399,-0.68404718,-0.66177163,-0.60848913,-0.61666301,-0.45283298,-0.53567504,-0.5649496,-0.50909104,-0.54847105,-0.39207034,-0.34320667,-0.11308943,0.076648458,-0.17621911,-0.16734137,0.14227862,0.016301436,0.018832391,0.029315372,0.045597705,0.093276351,0.002552916,0.081337208,0.23570449,0.017635839,0.1048791,0.13829666,-0.062363763,-0.043107282,0.044711713,0.13484115,0.10396299,0.10294088,0.16577936,0.099191147,0.27720786,0.34359961,0.21498279,0.26849081,0.55597708,0.47912976,0.62289278,0.6617318,0.37006996,0.33170274,0.59379564,0.65315957,0.56555381,0.6080421,0.65877326,0.64049152,0.46449932,0.42450528,0.52794288,0.47768037,0.51206949,0.67429048,0.49108983,0.25518025,0.3050069,0.52989692,0.57933824,0.48560288,0.56172015,0.67427009,0.84859763,0.97419715,1.0972325,1.499384,1.7055642,1.7918746,1.9322801,1.8209036,1.7162508,1.5833912,1.3472824,1.0361699,0.81906776,0.68707777,0.27952002,-0.078181022,-0.21538626,-0.19868389,-0.094224205,-0.21969419,-0.24350356,-0.21898932,-0.30626484,-0.26587587,-0.19105794,-0.2539462,-0.25401284,-0.1889422,-0.14575042,-0.18869653,-0.18265359,0.16531224,0.57656992,0.9630985,1.1185093,1.5920596,1.8599903,1.4317164,0.6131455,-0.075239687,-0.46574708,-0.48311744,-1.2786334,1
0.44198855,-1.6549005,-3.4018003,-4.5515569,-4.7694219,-4.0873202,-2.9432257,-1.6896159,-1.3888295,-0.64836427,-0.086811508,-0.047263014,-0.078580133,-0.060816991,0.11684737,-0.08085752,0.004049498,-0.034328865,0.014035241,-0.014091414,-0.066619095,-0.1569472,-0.1170056,-0.11933597,-0.15294478,-0.19713743,-0.26630595,-0.295495,-0.36137099,-0.45728942,-0.65735146,-0.62531242,-0.59431749,-0.71050455,-0.66267474,-0.63205545,-0.68348108,-0.77915158,-0.67402708,-0.60747092,-0.49612993,-0.49373284,-0.36501465,-0.24259924,-0.17684464,-0.15867473,-0.02367377,-0.014267028,0.050436066,0.10962416,0.085629859,0.10610566,0.12032755,0.13428472,0.059670296,0.096121065,0.051561902,0.12985732,0.20068965,0.15194698,0.18505504,0.26123164,0.22154659,0.15679693,0.12190689,0.33070941,0.33078394,0.38335774,0.39893224,0.45949172,0.45275149,0.47608586,0.44299637,0.5803239,0.44837496,0.4597396,0.41257758,0.5358888,0.53836685,0.44194906,0.48181643,0.35905629,0.40824402,0.38701496,0.4280472,0.37425591,0.29948175,0.41175089,0.36789012,0.35261929,0.33892883,0.31316048,0.32219069,0.37521631,0.39074329,0.6244018,0.77503315,0.97359839,1.0671488,1.2691996,1.4332599,1.6535033,1.8413704,1.7906429,1.7074461,1.6283286,1.4237053,1.2828333,1.0648624,0.87656706,0.55381528,0.071430825,-0.18646112,-0.27202531,-0.30748558,-0.31184293,-0.32477876,-0.34222067,-0.24023786,-0.29364079,-0.3044844,-0.27269511,-0.27400977,-0.36185133,-0.24497219,-0.39255725,-0.32647697,-0.075013723,0.1739922,0.60849109,0.78048389,0.81837824,0.8545484,0.87749352,0.79063332,0.64329826,0.86462716,0.99958727,0.32037126,-2.0352372,1
-1.4611508,-3.0446536,-3.6134638,-3.9305855,-4.0676916,-3.7640599,-3.1631535,-2.154579,-1.2912172,-1.096458,-0.64907639,-0.14649915,-0.11822546,-0.10604497,-0.078754731,-0.054853003,-0.13453208,-0.10715288,-0.035778669,0.067300395,0.032126248,-0.078709431,-0.088686896,-0.14451117,-0.049063409,-0.005901257,-0.12337529,-0.10016228,-0.056084325,-0.10154624,-0.11508855,-0.10749684,-0.18996742,-0.12207487,-0.082964974,-0.10304922,-0.10640041,-0.038166606,-0.064443861,-0.095971734,-0.071693975,0.049661937,0.082779257,0.10190642,0.13139824,0.18897527,0.22929426,0.25122816,0.28179086,0.21011915,0.19570645,0.14914383,0.10233904,0.072421697,-0.036464914,-0.01046784,0.032615844,0.02805301,0.14910263,0.058940314,0.12030418,0.13752711,0.020480711,-0.030890085,0.049323864,0.090896025,0.005922381,0.12299545,0.065482178,0.15345318,0.10877649,0.18590266,0.20965489,0.29002411,0.31515969,0.29683779,0.38939893,0.34232031,0.40311722,0.48523763,0.50949172,0.53824731,0.56270839,0.5572532,0.48947697,0.53473448,0.46781042,0.47102241,0.48994294,0.54139512,0.55207339,0.66800945,0.74134253,0.70351934,1.0579605,1.1364202,1.3052435,1.3832431,1.6614668,1.9037667,1.8681048,1.7692061,1.650963,1.4179762,1.3137559,1.129764,0.95318096,0.85628176,0.46087582,0.093870143,-0.12703731,-0.3295351,-0.31306238,-0.11473454,-0.083096936,-0.18464122,-0.12869682,-0.21926428,-0.18631243,-0.24407287,-0.29322572,-0.15684014,-0.10310701,-0.13386881,-0.095946264,-0.07766245,0.017634306,0.4665379,0.99100834,1.2394918,1.1627398,1.016781,0.68319276,0.15260158,-0.38004219,-0.70673432,-0.50963315,-0.60086301,-1.2560252,-2.5412984,1
